Candidate Number,,CEGE201M,COMP105P,COMP201P,COMP202P,COMP203P,COMP204P,COMP205P,COMP206P,COMP207P,COMP209P,ELEC210P,ENGS212M,LCFR6001,LCFR6002,LCFR6003,LCGE6007,LCJA6001,LCMA6001,LCSP6001,MSIN6001B,MSIN7008,MSIN716P,STAO6001,STAO6002,Outcome,Overall,,
JFYL0,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,0.5,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,72,82,72,70,70,81,87,,,,,,,,,,,,72,,,,Raw Average Module Mark,76,,
LXGT0,Credit Value,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,0,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,62,,64,66,62,40,47,69,50,,,,,,,,,,,,,,,,Raw Average Module Mark,58,,
KNNL2,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,,,,,,,,,,,0,0,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,89,84,68,82,77,70,91,,92,,,,,,,,,,,,,,Raw Average Module Mark,82,,
KBPC1,Credit Value,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,0,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,70,,91,83,66,81,82,54,89,,,,,,,,,,,,,,,,Raw Average Module Mark,77,,
KNLC3,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,96,82,77,91,85,92,84,79,,,,,,,,,,,,,,,Raw Average Module Mark,86,,
MBNK3,Credit Value,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,74,,78,83,65,75,73,86,83,,,,,,,,,,,,,,,,Raw Average Module Mark,77,,
KNQB9,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,,,,,,,,,,,0,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,60,55,67,70,72,46,60,,63,,,,,,,,,,,,,,Raw Average Module Mark,62,,
MBQB9,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,0.5,,,,,,,,,,,Totals Credits Gained,2.5,RS,Resit in following year
,Module Result,,,12,3,67,60,72,61,0,,,,,55,,,,,,,,,,,Raw Average Module Mark,63,,
KWCB4,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,0.5,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
