Provisional Results 2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
BSc Computer Science (Year 3),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Results are overall module results; these are provisional until verified by the UCL Board of Examiners. ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Progression Status,Award Outcome,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,1.0,0.5,,,,0.5,0.5,,RS,Credit Passed,N/A,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3091,COMP3095,,,,COMP312P,COMP313P,,Resit in following year,Award Mark,N/A,,,,
PBJF9,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,0,22,0,0,0,,,,0,86,,,Classification,N/A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,,,1.0,0.5,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,CEGE301M,CEGE305M,COMP3004,COMP3005,COMP3013,,,,COMP3091,COMP3095,,,Award Mark,73.62,,,,
QMGM3,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,70,65,67,86,71,,,,72,64,,,Classification,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,11.5,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3012,COMP3013,COMP3091,,,,MSIN3017,MSIN3G23,,,Award Mark,53.86,,,,
PGHV0,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,43,54,64,68,62,,,,48,56,,,Classification,2B,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3080,COMP3091,,,,COMP312P,COMP313P,,,Award Mark,69.76,,,,
PNZM4,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,68,70,71,63,63,,,,60,67,,,Classification,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,11,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3058,COMP3091,,,,MSIN3G07,MSIN7017,,,Award Mark,48.5,,,,
QKCN8,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,26,70,24,47,42,,,,58,55,,,Classification,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,1.0,0.5,,,,0.5,0.5,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3035,COMP3091,COMP312P,,,,COMP313P,COMPM023,,,Award Mark,70.13,,,,
QWYD4,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,62,71,89,61,73,,,,81,83,,,Classification,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,,,0.5,1.0,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,CEGE301M,CEGE305M,COMP3004,COMP3005,COMP3013,,,,COMP3058,COMP3091,,,Award Mark,63.96,,,,
NSFD0,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,69,61,44,42,74,,,,44,68,,,Classification,2A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,1.0,,AWARD MADE,Credit Passed,12,,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3063,COMP3091,,,,LCFR6045,,,Award Mark,75.72,,,,,
NJBD3,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,81,81,87,82,66,,,,73,,,Classification,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,0.5,0.5,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3013,COMP3058,COMP3091,,,,ELEC310P,ELEC311P,,,Award Mark,69.35,,,,
QGNV3,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,62,68,69,55,76,,,,73,71,,,Classification,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,1.0,,,,1.0,,AWARD MADE,Credit Passed,11,,,,,
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3013,COMP3035,COMP3091,,,,LCJA6023,,,Award Mark,59.56,,,,,
PXTD9,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,49,71,69,65,56,,,,38,,,Classification,2A,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,,,0.5,1.0,,AWARD MADE,Credit Passed,12,,,,
,,,,,,,,Module Code,CEGE301M,CEGE305M,COMP3004,COMP3005,COMP3072,,,,COMP3080,COMP3091,,,Award Mark,72.69,,,,
QKFD5,3,A,,2016/17,UBSCOMSING05,,COMPUTER SCI,Module Result,71,55,64,83,60,,,,80,71,,,Classification,1,,,,
