,,,,,,,,,,,,,,,,,,,
Provisional Results 2016-17,,,,,,,,,,,,,,,,,,,
MEng Mathematical Computation (Year 3),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Results are overall module results; these are provisional until verified by the UCL Board of Examiners. ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Progression Status
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3058,COMP3063,,ECON3014,MATH3502,,MATH3601,Pass progress to next academic year
RMPV4,3,A,,2016/17,UMNCOMSMAT05,,MATH COMPTTN,Module Result,67,65,85,93,86,,57,71,,68,
,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3035,COMP3058,,COMP3063,MATH6801,,MATH7202,Pass progress to next academic year
NJLN3,3,A,,2016/17,UMNCOMSMAT05,,MATH COMPTTN,Module Result,76,74,72,75,72,,80,59,,71,
,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3013,COMP3058,,COMP3063,COMP3080,,MATH3601,Pass progress to next academic year
QLHM3,3,A,,2016/17,UMNCOMSMAT05,,MATH COMPTTN,Module Result,72,88,78,77,79,,72,77,,82,
,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,0.5,RS
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3035,COMP3058,COMP3063,,COMPM067,STAT3101,,STAT3102,Resit in following year
PFKW7,3,A,,2016/17,UMNCOMSMAT05,,MATH COMPTTN,Module Result,58,30,37,0,51,,59,37,,30,
,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3063,COMP3080,,LCAR6002,MATH3601,,MATH7202,Pass progress to next academic year
RQRV8,3,A,,2016/17,UMNCOMSMAT05,,MATH COMPTTN,Module Result,89,86,79,80,84,,57,98,,71,
,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,0.5,RS
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3035,COMP3058,,COMP3063,MATH3601,,MATH7202,Resit in following year
NNHW4,3,A,,2016/17,UMNCOMSMAT05,,MATH COMPTTN,Module Result,0,0,0,0,0,,0,0,,0,
,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3058,COMP3063,ECON3014,,MATH3502,MATH3506,,MATH7202,Pass progress to next academic year
NSHD8,3,A,,2016/17,UMNCOMSMAT05,,MATH COMPTTN,Module Result,57,70,81,65,63,,69,51,,79,
,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3012,COMP3058,,COMP3063,COMP3072,,ECON3014,Pass progress to next academic year
PGCM4,3,A,,2016/17,UMNCOMSMAT05,,MATH COMPTTN,Module Result,77,57,68,69,84,,67,41,,77,
,,,,,,,,,,,,,,,,,,,
Student Candidate Number,Student Module Level,Occurrence,,Academic Year,Programme Code,,Programme Name,Credit,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,0.5,PP
,,,,,,,,Module Code,COMP3004,COMP3005,COMP3011,COMP3058,COMP3063,,ECON3014,MATH3601,,SCAN2002B,Pass progress to next academic year
NSHF6,3,A,,2016/17,UMNCOMSMAT05,,MATH COMPTTN,Module Result,69,77,82,87,81,,56,80,,82,
,,,,,,,,,,,,,,,,,,,
