Candidate Number,,CEGE201M,COMP201P,COMP202P,COMP203P,COMP204P,COMP205P,COMP206P,COMP207P,COMP209P,COMP7008,ELEC210P,LCFR6001,LCFR6003,LCGE6001,LCGE6002,LCJA6001,LCJA6005,LCMA6001,LCMA6003,MSIN6001B,MSIN7008,MSIN716P,STAO6002,Outcome,Overall,,
KCXD1,Credit Value,,,,,,,,,,,,,,,0.5,,,,,,,,,Totals Credits Gained,0.5,FW,Fail Withdraw
,Module Result,,,,,,,,,,,,,,,49,,,,,,,,,Raw Average Module Mark,49,,
LLSB8,Credit Value,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,73,91,87,68,71,72,74,88,,,,,,,,,,,,,,,,Raw Average Module Mark,78,,
KNTK7,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,91,95,57,70,76,78,86,81,,,,,,,,,,,,,,,Raw Average Module Mark,79,,
KSQT6,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,0.5,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,40,41,58,51,59,41,43,,,,,,,,,,,,,,50,,Raw Average Module Mark,48,,
KDJS9,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,89,75,67,74,71,74,88,72,,,,,,,,,,,,,,,Raw Average Module Mark,76,,
LCQW8,Credit Value,,0.5,0.5,,,,0.5,,,0.5,,,,,,,,,,,,,,Totals Credits Gained,2,PP,Pass Progress to next academic year
,Module Result,,45,51,,,,45,,,57,,,,,,,,,,,,,,Raw Average Module Mark,50,,
JFQC7,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,94,73,48,75,71,46,83,41,,,,,,,,,,,,,,,Raw Average Module Mark,66,,
LLRB9,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,66,77,64,75,72,54,73,64,,,,,,,,,,,,,,,Raw Average Module Mark,68,,
LZFS0,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,,,,,,,,,,,,,Totals Credits Gained,3.5,PP,Pass Progress to next academic year
,Module Result,,82,45,66,80,83,35,81,,,76,,,,,,,,,,,,,Raw Average Module Mark,73,,
KQNS2,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,0.5,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,75,69,69,84,78,52,74,,,,,,,53,,,,,,,,,Raw Average Module Mark,69,,
KZBB2,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,0.5,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,81,92,67,73,74,74,67,,,,,75,,,,,,,,,,,Raw Average Module Mark,75,,
JWLT8,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,70,77,62,76,78,59,61,,,64,,,,,,,,,,,,,Raw Average Module Mark,68,,
MBCB3,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,90,77,66,78,72,67,75,,,72,,,,,,,,,,,,,Raw Average Module Mark,75,,
KWCS7,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0.5,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,78,74,54,60,68,52,70,,,,,,,,64,,,,,,,,Raw Average Module Mark,65,,
LXHK8,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,95,94,77,90,86,92,90,78,,,,,,,,,,,,,,,Raw Average Module Mark,88,,
JFWL2,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,0.5,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,60,60,60,65,66,73,75,,,,,,,,,,,,,,42,,Raw Average Module Mark,63,,
JLKB8,Credit Value,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,67,86,94,63,88,83,81,89,,,,,,,,,,,,,,,,Raw Average Module Mark,81,,
KKCK7,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,0.5,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,82,83,74,73,75,70,85,,,,,,,,,64,,,,,,,Raw Average Module Mark,76,,
JSNC7,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,94,94,73,87,84,89,94,72,,,,,,,,,,,,,,,Raw Average Module Mark,86,,
JFWC1,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,3.5,PP,Pass Progress to next academic year
,Module Result,,53,55,0,68,57,55,65,55,,,,,,,,,,,,,,,Raw Average Module Mark,58,,
MCGD6,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,0.5,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,56,63,68,80,77,51,54,,,,,,,,,,,,,,45,,Raw Average Module Mark,62,,
LSYK6,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,0.5,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,68,72,63,74,77,62,72,,,,,,,,,,,,70,,,,Raw Average Module Mark,70,,
LGLK1,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,67,65,68,72,77,83,76,,,66,,,,,,,,,,,,,Raw Average Module Mark,72,,
MBHB8,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0.5,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,70,62,69,59,71,59,72,,,,,,,,64,,,,,,,,Raw Average Module Mark,66,,
KWSB8,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,74,89,66,76,75,66,91,64,,,,,,,,,,,,,,,Raw Average Module Mark,75,,
JHHK6,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,0.5,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,60,48,61,60,61,57,41,,,,,,,,,,,,,66,,,Raw Average Module Mark,57,,
LKDL4,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,0.5,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,70,64,66,65,75,85,75,,,,,,,,,,,,,,68,,Raw Average Module Mark,71,,
KBQT3,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,3.5,PP,Pass Progress to next academic year
